source_url,target_url,anchor,Status Code
https://rencore.com/en/,https://rencore.com/en/,Read full customer story,200
https://rencore.com/en/,https://rencore.com/en/,Read full customer story,200
https://rencore.com/en/get-started,https://rencore.com/en/,,200
https://rencore.com/en/privacy-notice,https://rencore.com/en/,rencore.com,200
https://rencore.com/en-us/get-started,https://rencore.com/en/,,200
https://rencore.com/en/blog/the-rise-of-microsoft-ai-agents-what-it-leaders-need-to-know-about-governance,https://rencore.com/en/,Rencore Governance,200
https://rencore.com/en/blog/ai-governance-for-microsoft-365-from-copilot-risks-to-eu-ai-act-readiness,https://rencore.com/en/,Rencore,200
https://rencore.com/en/blog/press-release-rencore-extends-series-a-to-usd-15-million-to-accelerate-ai-governance-growth-and-international-expansion,https://rencore.com/en/,cloud-based governance platform,200
https://rencore.com/en/get-started?hsCtaAttrib=191591073147,https://rencore.com/en/,,200
https://rencore.com/en/blog/what-is-agentic-ai-and-what-it-means-for-microsoft-365-governance,https://rencore.com/en/,Rencore Governance,200
https://rencore.com/de/get-started,https://rencore.com/en/,,200
https://rencore.com/en/blog/ai-governance-for-microsoft-365-from-copilot-risks-to-eu-ai-act-readiness,https://rencore.com/en/service/power-platform-governance,Power App,200
https://rencore.com/en/,https://rencore.com/en/use-case/optimize-secure-score-cyber-insurance,Secure Score Maximize your M365 Secure Score and Save on your Cyber Insurance.,200
https://rencore.com/de/,https://rencore.com/en/use-case/optimize-secure-score-cyber-insurance,Sicherer Score Maximieren Sie Ihren M365 Secure Score und sparen Sie bei Ihrer Cyber-Versicherung.,200
https://rencore.com/en/,https://rencore.com/en/use-case/microsoft-365-visibility,Tenant Visibility Achieve full visibility across Microsoft 365.,200
https://rencore.com/de/,https://rencore.com/en/use-case/microsoft-365-visibility,Vollständige Transparenz Erhalten Sie Einblicke in alle Dienste in Microsoft 365.,200
https://rencore.com/en/blog/microsoft-teams-governance-best-practices-definitive-list,https://rencore.com/en/use-case/microsoft-365-visibility,360° visibility,200
https://rencore.com/en/blog/ai-governance-for-microsoft-365-from-copilot-risks-to-eu-ai-act-readiness,https://rencore.com/en/use-case/microsoft-365-visibility,tenant inventory,200
https://rencore.com/en/,https://rencore.com/en/features/microsoft-365-lifecycle-governance,Lifecycle Management Automate your complete app and service lifecycle management.,200
https://rencore.com/de/,https://rencore.com/en/features/microsoft-365-lifecycle-governance,Lebenszyklus-Management Automatisieren Sie das komplette Lebenszyklusmanagement von Anwendungen und Diensten.,200
https://rencore.com/en/blog/microsoft-teams-governance-best-practices-definitive-list,https://rencore.com/en/features/microsoft-365-lifecycle-governance,lifecycle management,200
https://rencore.com/en/blog/ai-governance-for-microsoft-365-from-copilot-risks-to-eu-ai-act-readiness,https://rencore.com/en/features/microsoft-365-lifecycle-governance,full lifecycle,200
https://rencore.com/en/blog/ai-regulation-in-europe-your-guide-to-the-eu-ai-act-and-microsoft-365-compliance,https://rencore.com/en/features/microsoft-365-lifecycle-governance,lifecycle management,200
https://rencore.com/en/blog/building-copilot-agents-controlling-with-rencore-governance,https://rencore.com/en/features/microsoft-365-lifecycle-governance,lifecycle management,200
https://rencore.com/en/,https://rencore.com/en/use-case/declutter-microsoft-365,Declutter Keep your tenant tidy from outdated and orphaned resources.,200
https://rencore.com/en/use-case/microsoft-copilot-readiness,https://rencore.com/en/use-case/declutter-microsoft-365,reduce clutter,200
https://rencore.com/de/,https://rencore.com/en/use-case/declutter-microsoft-365,Entrümpeln Halten Sie Ihren Mieter vor veralteten und verwaisten Ressourcen in Ordnung.,200
https://rencore.com/en/blog/the-rise-of-microsoft-ai-agents-what-it-leaders-need-to-know-about-governance,https://rencore.com/en/use-case/declutter-microsoft-365,cleaning up your tenant,200
https://rencore.com/en/features,https://rencore.com/en/features/microsoft-365-provisioning,Learn more,200
https://rencore.com/en/service/power-platform-governance,https://rencore.com/en/features/microsoft-365-access-management,access reviews,200
https://rencore.com/en/features,https://rencore.com/en/features/microsoft-365-access-management,Learn more,200
https://rencore.com/en/,https://rencore.com/en/copilot-agent-governance,Learn more,200
https://rencore.com/en/blog/rencore-governance-in-retrospect,https://rencore.com/en/copilot-agent-governance,Copilot & Agent Governance,200
https://rencore.com/en/blog/agent-365-governance-challenge,https://rencore.com/en/copilot-agent-governance,AI governance,200
https://rencore.com/en/blog/press-release-rencore-extends-series-a-to-usd-15-million-to-accelerate-ai-governance-growth-and-international-expansion,https://rencore.com/en/copilot-agent-governance,advanced AI and Agent Governance capabilities,200
https://rencore.com/en/service/power-platform-governance,https://rencore.com/en/service/microsoft-copilot-studio-governance,Copilot Studio,200
https://rencore.com/en/use-case/microsoft-copilot-readiness,https://rencore.com/en/service/microsoft-copilot-studio-governance,Copilot Studio,200
https://rencore.com/en/blog/webinar-qna-deep-dive-ai-copilot-studio,https://rencore.com/en/service/microsoft-copilot-studio-governance,Learn more,200
https://rencore.com/en/blog/what-is-agentic-ai-and-what-it-means-for-microsoft-365-governance,https://rencore.com/en/service/microsoft-copilot-studio-governance,Power Platform,200
